transaction_id,user_id,device_id,transaction_amount,currency,payment_mode,merchant_category,transaction_city,transaction_hour,new_device,location_change,failed_attempts_24h,transactions_last_1h,ip_risk_score,vpn_used,international_transaction,fraud_probability,risk_score,risk_level,decision,is_fraud,risk_reasons,recommendation,timestamp
TXN-84B5BB7D29,U1001,D1001,50000000.0,INR,CARD,Travel,pune,12,0,0,0,1,10.0,0,0,7.56,7.56,LOW,APPROVE,,Unusually high transaction amount,Transaction appears low risk. Continue monitoring the account for unusual activity.,2026-09-17 16:47:51
TXN-6188A69C3C,U1001,D1001,50000000.0,INR,CARD,Travel,pune,12,0,0,0,1,10.0,1,0,7.56,7.56,LOW,APPROVE,,VPN usage detected | Unusually high transaction amount,Transaction appears low risk. Continue monitoring the account for unusual activity.,2026-09-17 16:52:27
TXN-0EB81E3524,U1001,D1001,50000000.0,INR,CARD,Travel,pune,12,0,1,0,1,10.0,1,0,7.56,7.56,LOW,APPROVE,,Unusual location change detected | VPN usage detected | Unusually high transaction amount,Transaction appears low risk. Continue monitoring the account for unusual activity.,2026-09-17 16:52:36
TXN-421813FC70,U1001,D1001,652456.2,INR,UPI,Travel,bangalore,12,0,0,0,1,10.0,0,0,9.06,9.06,LOW,APPROVE,,Unusually high transaction amount,Transaction appears low risk. Continue monitoring the account for unusual activity.,2026-09-17 16:54:03
TXN-DC40C1A6BE,U1001,D1001,652456.2,INR,UPI,Entertainment,bangalore,12,0,0,0,1,10.0,0,0,11.02,11.02,LOW,APPROVE,,Unusually high transaction amount,Transaction appears low risk. Continue monitoring the account for unusual activity.,2026-09-17 16:59:46
TXN-A3DB3F4141,U1001,D1001,652456.2,INR,UPI,Shopping,bangalore,12,0,0,0,1,10.0,0,0,9.34,9.34,LOW,APPROVE,,Unusually high transaction amount,Transaction appears low risk. Continue monitoring the account for unusual activity.,2026-09-17 17:07:09
TXN-98A5F878B4,U1001,D1001,652456.2,INR,UPI,Shopping,bangalore,9,0,1,5,8,90.0,1,0,12.79,12.79,LOW,APPROVE,,Unusual location change detected | VPN usage detected | Multiple failed attempts detected | High transaction frequency detected | High IP risk score | Unusually high transaction amount,Transaction appears low risk. Continue monitoring the account for unusual activity.,2026-09-17 17:08:39
TXN-B42D500BCF,U1001,D1001,75000.0,INR,CARD,Shopping,bangalore,12,1,1,4,7,85.0,1,0,4.0,90.0,HIGH,BLOCK,,New device detected | Unusual location change detected | VPN usage detected | Multiple failed attempts detected | High transaction frequency detected | High IP risk score | Unusually high transaction amount,Block this transaction and perform manual verification.,2026-09-17 17:11:25
TXN-3FCA9915D1,U1001,D1001,75000.0,INR,UPI,Travel,bangalore,12,1,0,0,1,10.0,1,0,5.56,35.0,LOW,APPROVE,,New device detected | VPN usage detected | Unusually high transaction amount,Transaction appears low risk. Continue monitoring.,2026-09-17 17:18:44
TXN-DEF9E1A547,U1001,D1001,75000.0,INR,UPI,Travel,bangalore,12,1,1,0,1,10.0,1,0,5.56,45.0,MEDIUM,HOLD,,New device detected | Unusual location change detected | VPN usage detected | Unusually high transaction amount,Hold the transaction and request additional verification.,2026-09-17 17:18:50
TXN-DD16C7AF98,vgvgv,ddddddddddd,75000.0,INR,UPI,Shopping,pune,12,1,1,4,5,70.0,1,0,4.31,90.0,HIGH,BLOCK,,New device detected | Unusual location change detected | VPN usage detected | Multiple failed attempts detected | High transaction frequency detected | High IP risk score | Unusually high transaction amount,Block this transaction and perform manual verification.,2026-09-17 17:51:30
TXN-615ABBC903,gg,jyy,76258.0,INR,NET_BANKING,Travel,pune,12,0,0,0,1,10.0,0,0,4.56,15.0,LOW,APPROVE,,Unusually high transaction amount,Transaction appears low risk. Continue monitoring.,2026-09-17 17:58:42
TXN-7CADAC5FCA,cds,dfc,75555.0,INR,CARD,Travel,pume,12,1,1,4,7,85.0,1,0,7.92,90.0,HIGH,BLOCK,1.0,New device detected | Unusual location change detected | VPN usage detected | Multiple failed attempts detected | High transaction frequency detected | High IP risk score | Unusually high transaction amount,Block this transaction and perform manual verification.,2026-09-17 18:03:27
TXN-EABD10E995,grtggdg,yed,526688.0,INR,WALLET,Shopping,pune,12,1,0,0,1,10.0,0,0,7.33,25.0,LOW,APPROVE,0.0,New device detected | Unusually high transaction amount,Transaction appears low risk. Continue monitoring.,2026-09-17 18:06:19
TXN-2FD1C6F7FC,vevsdf,verg,75000.0,INR,CARD,Travel,pune,12,1,1,4,7,85.0,1,0,7.92,90.0,HIGH,BLOCK,1.0,New device detected | Unusual location change detected | VPN usage detected | Multiple failed attempts detected | High transaction frequency detected | High IP risk score | Unusually high transaction amount,Block this transaction and perform manual verification.,2026-09-17 18:07:14
TXN-D13B0BD3A6,ecasc,cdc,78945.0,INR,UPI,Utilities,pune,12,1,1,7,8,85.0,0,0,10.09,80.0,HIGH,BLOCK,1.0,New device detected | Unusual location change detected | Multiple failed attempts detected | High transaction frequency detected | High IP risk score | Unusually high transaction amount,Block this transaction and perform manual verification.,2026-09-17 18:09:57
