transaction_id,user_id,device_id,transaction_amount,currency,payment_mode,merchant_category,transaction_city,transaction_hour,new_device,location_change,failed_attempts_24h,transactions_last_1h,ip_risk_score,vpn_used,international_transaction,fraud_probability,risk_score,risk_level,decision,is_fraud
TXN500000,U100250,D201800,2377.92,INR,UPI,Grocery,Nashik,1,Yes,No,0,2,62.89,No,No,31.36,31.36,Low,APPROVE,0
TXN500001,U100012,D201416,13550.74,INR,UPI,Fuel,Hyderabad,22,No,No,1,13,43.22,No,No,18.67,18.67,Low,APPROVE,0
TXN500002,U100670,D200401,3829.73,INR,UPI,Utilities,Pune,9,No,No,0,3,14.58,No,No,3.21,3.21,Low,APPROVE,0
TXN500003,U100540,D202874,2032.77,INR,Debit Card,Gaming,Kolkata,22,Yes,Yes,0,8,83.0,No,No,46.91,46.91,Medium,HOLD,0
TXN500004,U100056,D200335,18888.82,INR,Credit Card,Healthcare,Nagpur,21,No,No,0,9,51.07,No,No,27.97,27.97,Low,APPROVE,0
TXN500005,U101003,D202076,3606.5,INR,UPI,Utilities,Mumbai,1,No,No,0,8,30.25,No,No,33.12,33.12,Low,APPROVE,0
TXN500006,U101184,D201842,460.5,INR,Wallet,Shopping,Hyderabad,10,No,No,0,9,97.32,No,Yes,14.79,14.79,Low,APPROVE,0
TXN500007,U100436,D201961,2086.53,INR,Wallet,Travel,Nagpur,4,No,No,0,3,16.01,No,No,13.99,13.99,Low,APPROVE,0
TXN500008,U100777,D202851,8959.62,INR,UPI,Travel,Pune,5,No,No,0,12,20.67,No,No,19.07,19.07,Low,APPROVE,0
TXN500009,U100229,D200843,2981.89,INR,Credit Card,Entertainment,Delhi,15,No,No,0,12,88.33,No,No,18.2,18.2,Low,APPROVE,0
TXN500010,U100830,D201640,12763.57,INR,UPI,Food,Kolkata,19,No,No,1,13,72.05,No,No,8.58,8.58,Low,APPROVE,0
TXN500011,U100840,D200044,809.68,INR,UPI,Food,Nagpur,9,No,No,1,9,90.84,No,No,19.25,19.25,Low,APPROVE,0
TXN500012,U101216,D201124,2283.71,INR,UPI,Entertainment,Pune,13,Yes,No,0,7,73.15,No,No,20.26,20.26,Low,APPROVE,0
TXN500013,U100619,D201249,3633.81,INR,UPI,Travel,Mumbai,5,No,No,0,2,31.38,No,No,4.83,4.83,Low,APPROVE,0
TXN500014,U100356,D202466,676.58,INR,Credit Card,Entertainment,Hyderabad,4,No,No,0,12,92.83,No,No,31.46,31.46,Low,APPROVE,0
TXN500015,U100351,D200615,2484.49,INR,Net Banking,Travel,Nashik,9,No,No,0,10,26.62,No,No,12.8,12.8,Low,APPROVE,0
TXN500016,U100864,D202309,3905.21,INR,UPI,Shopping,Chennai,11,No,No,0,4,36.63,No,No,1.82,1.82,Low,APPROVE,0
TXN500017,U101281,D200764,662.8,INR,Wallet,Entertainment,Chennai,21,No,No,0,5,69.32,No,No,2.94,2.94,Low,APPROVE,0
TXN500018,U100621,D201700,527.76,INR,UPI,Fuel,Chennai,16,No,No,0,8,25.5,No,No,19.88,19.88,Low,APPROVE,0
TXN500019,U101665,D202339,8701.15,INR,UPI,Fuel,Pune,15,No,No,1,9,6.15,No,No,11.11,11.11,Low,APPROVE,0
TXN500020,U100634,D201479,2823.56,INR,Credit Card,Gaming,Pune,9,No,No,0,6,23.22,No,No,1.85,1.85,Low,APPROVE,0
TXN500021,U100964,D200533,213.26,INR,Wallet,Grocery,Nashik,16,No,No,1,14,2.88,No,No,6.94,6.94,Low,APPROVE,0
TXN500022,U101993,D201092,1224.98,INR,Wallet,Entertainment,Hyderabad,1,No,No,0,10,82.73,Yes,No,26.44,26.44,Low,APPROVE,0
TXN500023,U100627,D201604,2716.89,INR,UPI,Entertainment,Hyderabad,1,Yes,Yes,1,5,9.63,No,No,48.31,48.31,Medium,HOLD,0
